city_ascii,country,population
Qinggang,China,64182
Skokie,United States,63978
Tulare,United States,63855
Lakeville,United States,63748
Haverhill,United States,63639
Pico Rivera,United States,63522
Beloit,United States,63498
Pflugerville,United States,63359
Eastvale,United States,63211
Port Orange,United States,63203
Montebello,United States,63192
Encinitas,United States,63184
Rowlett,United States,62868
Monessen,United States,62833
Sebring,United States,62814
Lehi,United States,62712
Coon Rapids,United States,62656
La Habra,United States,62466
Waltham,United States,62442
Brentwood,United States,62433
Ankeny,United States,62416
San Luis Obispo,United States,62398
Springfield,United States,62353
Council Bluffs,United States,62316
Castle Rock,United States,62276
North Miami,United States,62225
Hamilton,United States,62092
Mankato,United States,61912
Noblesville,United States,61882
Gadsden,United States,61656
Moore,United States,61523
Fengcheng,China,61469
Burnsville,United States,61439
National City,United States,61363
Taylor,United States,61276
Malden,United States,61246
Doral,United States,61130
Marietta,United States,61048
Monterey Park,United States,61044
Coconut Creek,United States,61010
Rome,United States,60966
Dublin,United States,60939
Albany,United States,60795
Cupertino,United States,60777
Langzhong,China,60542
Morristown,United States,60316
Lakewood,United States,60296
Gardena,United States,60224
Bristol,United States,60223
Millcreek,United States,60192
Woodland,United States,60062
La Mesa,United States,60021
Taylorsville,United States,59992
Benton Harbor,United States,59939
West Allis,United States,59934
Meriden,United States,59927
Chapel Hill,United States,59862
Pontiac,United States,59792
Novi,United States,59715
Saint Clair Shores,United States,59635
Beckley,United States,59629
Dengzhou,China,59338
Sanford,United States,59317
Gannan,China,59239
Midland,United States,59138
Royal Oak,United States,59112
Bangor,United States,59107
Bartlett,United States,59102
